1.1,综合
1.19.7.3,按登记注册类型和行业分限额以上餐饮业企业主营业务税金及附加
1.19.7.4,按登记注册类型和行业分限额以上餐饮业企业主营业务利润
1.19.8,连锁餐饮企业
1.19.8.1,按登记注册类型和行业分连锁餐饮企业总店数
1.19.8.2,按登记注册类型和行业分连锁餐饮企业门店总数
1.19.8.3,按登记注册类型和行业分连锁餐饮企业年末从业人数
1.19.8.4,按登记注册类型和行业分连锁餐饮企业餐饮营业面积
1.19.8.5,按登记注册类型和行业分连锁餐饮企业餐位数
1.19.8.6,按登记注册类型和行业分连锁餐饮企业营业额
1.19.8.7,按登记注册类型和行业分连锁餐饮企业商品购进总额
1.19.8.8,按登记注册类型和行业分连锁餐饮企业统一配送商品购进额
1.20,旅游业
1.20.1,旅游业发展情况
1.20.2,国内旅游情况
1.20.3,国际旅游(外汇)收入及构成
1.20.4,按性别、年龄和事由分外国入境游客
1.20.5,按国别分外国入境游客
1.21,金融业
1.21.1,金融机构人民币信贷资金平衡表(资金来源)
1.21.2,金融机构人民币信贷资金平衡表(资金运用)
1.21.3,货币供应量
1.21.4,黄金和外汇储备
1.21.5,货币当局资产负债表
1.21.6,其他存款性公司资产负债表
1.21.7,外资银行资产负债表
1.21.8,社会融资规模及构成
1.21.9,证券市场基本情况
1.21.10,上市公司数量
1.21.11,股票发行量和筹资额
1.21.12,股票交易情况
1.21.13,保险系统机构、人员数
1.21.13.1,保险系统机构数
1.21.13.2,保险系统职工人数
1.21.14,保险公司业务经济技术指标
1.21.14.1,保费
1.21.14.2,赔款及给付
1.21.15,保险公司资产情况
1.21.16,保险公司资金运用情况
1.21.17,原保险保费收入和赔付支出情况
1.22,教育
1.22.1,各级各类学校、教职工和专任教师情况
1.22.1.1,各级各类学校数
1.22.1.2,各级各类学校教职工数
1.22.1.3,各级各类学校专任教师数
1.22.2,各级各类学历教育学生情况
1.22.2.1,各级各类学历教育招生数
1.22.2.2,各级各类学历教育在校学生数
1.22.2.3,各级各类学历教育毕业生数
1.22.3,各级各类非学历教育学生情况
1.22.3.1,各级各类非学历教育结业生数
1.22.3.2,各级各类非学历教育注册生数
1.22.4,各级各类民办教育基本情况
1.22.4.1,各级各类民办教育学校数
1.22.4.2,各级各类民办教育毕业生数
1.22.4.3,各级各类民办教育招生数
1.22.4.4,各级各类民办教育在校学生数
1.22.4.5,各级各类民办教育教职工数
1.22.4.6,各级各类民办教育专任教师数
1.22.4.7,各级各类民办教育另有其他学生数
1.22.5,各级各类学校数
1.22.6,各级各类学校专任教师数
1.22.7,各级各类学校招生数
1.22.8,各级各类学校在校学生数
1.22.9,各级各类学校毕业生数
1.22.10,研究生和留学生数
1.22.11,分学科研究生情况
1.22.11.1,分学科研究生招生数
1.22.11.2,分学科博士招生数
1.22.11.3,分学科硕士招生数
1.22.11.4,分学科研究生在校学生数
1.22.11.5,分学科博士在校学生数
1.22.11.6,分学科硕士在校学生数
1.22.12,高等教育学校(机构)数
1.22.13,高等教育学校(机构)学生数
1.22.14,成人本科分学科学生数
1.22.14.1,成人本科分学科招生数
1.22.14.2,成人本科分学科在校学生数
1.22.14.3,成人本科分学科毕业生数
1.22.15,成人专科分学科学生数
1.22.15.1,成人专科分学科招生数
1.22.15.2,成人专科分学科在校学生数
1.22.15.3,成人专科分学科毕业生数
1.22.16,普通本科分学科学生数
1.22.16.1,普通本科分学科招生数
1.22.16.2,普通本科分学科在校学生数
1.22.16.3,普通本科分学科毕业生数
1.22.17,普通专科分学科学生数
1.22.17.1,普通专科分学科招生数
1.22.17.2,普通专科分学科在校学生数
1.22.17.3,普通专科分学科毕业生数
1.22.18,网络本科分学科学生数
1.22.18.1,网络本科分学科招生数
1.22.18.2,网络本科分学科在校学生数
1.22.18.3,网络本科分学科毕业生数
1.22.19,网络专科分学科学生数
1.22.19.1,网络专科分学科招生数
1.22.19.2,网络专科分学科在校学生数
1.22.19.3,网络专科分学科毕业生数
1.22.20,中等职业学校(机构)数
1.22.21,中等职业学校(机构)学生分科类情况
1.22.21.1,中等职业学校(机构)学生分科类招生数
1.22.21.2,中等职业学校(机构)学生分科类在校学生数
1.22.21.3,中等职业学校(机构)学生分科类毕业生数
1.22.21.4,中等职业学校(机构)学生分科类获得职业资格证书毕业生数
1.22.22,职业技术培训机构基本情况
1.22.22.1,职业技术培训机构学校数
1.22.22.2,职业技术培训机构注册学生数
1.22.22.3,职业技术培训机构结业学生数
1.22.22.4,职业技术培训机构教职工数
1.22.22.5,职业技术培训机构专任教师数
1.22.23,普通高中学校和学生情况
1.22.23.1,普通高中学校数
1.22.23.2,普通高中招生数
1.22.23.3,普通高中在校学生数
1.22.23.4,普通高中毕业生数
1.22.24,初中学校和学生情况
1.22.24.1,普通初中学校数
1.22.24.2,职业初中学校数
1.22.24.3,初中招生数
1.22.24.4,初中在校学生数
1.22.24.5,初中毕业生数
1.22.25,普通小学学校和学生情况
1.22.25.1,普通小学学校数
1.22.25.2,普通小学招生数
1.22.25.3,普通小学在校学生数
1.22.25.4,普通小学毕业生数
1.22.26,技工学校数、学生数和教职工数
1.22.27,学龄儿童入学率和各级普通学校毕业生升学率
1.22.28,高等学校普通本、专科学校和学生情况
1.22.29,普通高等学校(机构)教职工情况
1.22.30,中等职业学校(机构)学生情况
1.22.31,中等职业学校(机构)教职工数
1.22.32,各级普通学校生师比
1.22.33,每十万人口各级学校平均在校生数
1.22.34,教育经费
1.22.34.1,教育经费
1.22.34.2,国家财政性教育经费
1.22.34.3,国家财政预算内教育经费
1.22.34.4,民办学校办学经费
1.22.34.5,社会捐赠经费
1.22.34.6,事业收入
1.22.34.7,学杂费
1.22.34.8,其他教育经费
1.23,科技
1.23.1,科技活动基本情况
1.23.2,科学研究与开发机构基本情况
1.23.3,高等学校科技活动情况
1.23.4,规模以上工业企业的科技活动基本情况
1.23.5,按登记注册类型和行业分规模以上工业企业研究与试验发展(研究与试验发展)活动情况
1.23.5.1,按登记注册类型分规模以上工业企业研究与试验发展全时当量
1.23.5.2,按登记注册类型分规模以上工业企业研究与试验发展经费
1.23.5.3,按登记注册类型分规模以上工业企业研究与试验发展项目数
1.23.5.4,按行业分规模以上工业企业研究与试验发展全时当量
1.23.5.5,按行业分规模以上工业企业研究与试验发展经费
1.23.5.6,按行业分规模以上工业企业研究与试验发展项目数
1.23.6,规模以上工业企业新产品开发及生产情况
1.23.6.1,按登记注册类型分规模以上工业企业新产品项目数
1.23.6.2,按登记注册类型分规模以上工业企业开发新产品经费
1.23.6.3,按登记注册类型分规模以上工业企业新产品产值
1.23.6.4,按登记注册类型分规模以上工业企业新产品销售收入
1.23.6.5,按登记注册类型分规模以上工业企业新产品出口销售收入
1.23.6.6,按行业分规模以上工业企业新产品项目数
1.23.6.7,按行业分规模以上工业企业开发新产品经费
1.23.6.8,按行业分规模以上工业企业新产品产值
1.23.6.9,按行业分规模以上工业企业新产品销售收入
1.23.6.10,按行业分规模以上工业企业新产品出口销售收入
1.23.7,规模以上工业企业专利情况
1.23.7.1,按登记注册类型分规模以上工业企业专利申请数
1.23.7.2,按登记注册类型分规模以上工业企业发明专利申请数
1.23.7.3,按登记注册类型分规模以上工业企业有效发明专利数
1.23.7.4,按行业分规模以上工业企业专利申请数
1.23.7.5,按行业分规模以上工业企业发明专利申请数
1.23.7.6,按行业分规模以上工业企业有效发明专利数
1.23.8,大中型工业企业科技活动基本情况
1.23.9,按登记注册类型和行业分大中型工业企业研究与试验发展(研究与试验发展)活动情况
1.23.9.1,按登记注册类型分大中型工业企业研究与试验发展人员全时当量
1.23.9.2,按登记注册类型分大中型工业企业研究与试验发展经费支出
1.23.9.3,按登记注册类型分大中型工业企业研究与试验发展项目数
1.23.9.4,按行业分大中型工业企业研究与试验发展人员全时当量
1.23.9.5,按行业分大中型工业企业研究与试验发展经费支出
1.23.9.6,按行业分大中型工业企业研究与试验发展项目数
1.23.10,按登记注册类型和行业分大中型工业企业新产品开发及生产情况
1.23.10.1,按登记注册类型分大中型工业企业新产品项目数
1.23.10.2,按登记注册类型分大中型工业企业开发新产品经费
1.23.10.3,按登记注册类型分大中型工业企业新产品产值
1.23.10.4,按登记注册类型分大中型工业企业新产品销售收入
1.23.10.5,按登记注册类型分大中型工业企业新产品出口销售收入
1.23.10.6,按行业分大中型工业企业新产品项目数
1.23.10.7,按行业分大中型工业企业新产品经费
1.23.10.8,按行业分大中型工业企业新产品产值
1.23.10.9,按行业分大中型工业企业新产品销售收入
1.23.10.10,按行业分大中型工业企业新产品出口销售收入
1.23.11,按登记注册类型和行业分大中型工业企业专利情况
1.23.11.1,按登记注册类型分大中型工业企业专利申请数
1.23.11.2,按登记注册类型分大中型工业企业发明专利申请数
1.23.11.3,按登记注册类型分大中型工业企业发明专利申请数
1.23.11.4,按行业分大中型工业企业专利申请数
1.23.11.5,按行业分大中型工业企业发明专利申请数
1.23.11.6,按行业分大中型工业企业有效发明专利数
1.23.12,按活动类型分全国研究与试验发展经费支出
1.23.13,按支出用途分全国研究与试验发展经费支出
1.23.14,按经费来源分全国研究与试验发展经费支出
1.23.15,研究与试验发展人员情况
1.23.15.1,研究与试验发展人员
1.23.15.2,研究与试验发展女性人员
1.23.15.3,研究与试验发展全时人员
1.23.15.4,博士毕业研究与试验发展人员
1.23.15.5,硕士毕业研究与试验发展人员
1.23.15.6,本科毕业研究与试验发展人员
1.23.16,按行业分研究与试验发展人员全时当量
1.23.17,研究与试验发展项目(课题)情况
1.23.18,限额以上研究与试验发展项目(课题)情况
1.23.18.1,限额以上研究与试验发展项目(课题)数
1.23.18.2,限额以上研究与试验发展项目(课题)人员全时当量
1.23.18.3,限额以上研究与试验发展项目(课题)研究人员全时当量
1.23.18.4,限额以上研究与试验发展项目(课题)经费支出
1.23.18.5,限额以上研究与试验发展项目(课题)政府资金支出
1.23.19,全国研究开发机构情况
1.23.20,高技术产业基本情况(大中型工业企业口径)
1.23.21,高技术产业专利及新产品生产情况(大中型工业企业口径)
1.23.21.1,高技术产业专利申请数(大中型工业企业口径)
1.23.21.2,高技术产业发明专利申请数(大中型工业企业口径)
1.23.21.3,高技术产业有效发明专利数(大中型工业企业口径)
1.23.21.4,高技术产业新产品产值(大中型工业企业口径)
1.23.21.5,高技术产业新产品销售收入(大中型工业企业口径)
1.23.21.6,高技术产业新产品出口销售收入(大中型工业企业口径)
1.23.22,高技术产业研究与试验发展活动及新产品开发情况(大中型工业企业口径)
1.23.22.1,高技术产业研究与试验发展机构数(大中型工业企业口径)
1.23.22.2,高技术产业研究与试验发展人员全时当量(大中型工业企业口径)
1.23.22.3,高技术产业研究与试验发展经费(大中型工业企业口径)
1.23.22.4,高技术产业研究与试验发展项目数(大中型工业企业口径)
1.23.22.5,高技术产业研究与试验发展项目经费(大中型工业企业口径)
1.23.22.6,高技术产业新产品开发项目数(大中型工业企业口径)
1.23.22.7,高技术产业新产品开发经费(大中型工业企业口径)
1.23.23,高技术产业科技活动投入情况(大中型工业企业口径)
1.23.23.1,高技术产业科技活动人员数(大中型工业企业口径)
1.23.23.2,高技术产业研究与试验发展人员全时当量(大中型工业企业口径)
1.23.23.3,高技术产业研究与试验发展科学家和工程师人员全时当量(大中型工业企业口径)
1.23.23.4,高技术产业科技活动经费支出(大中型工业企业口径)
1.23.23.5,高技术产业研究与试验发展经费(大中型工业企业口径)
1.23.23.6,高技术产业新产品开发经费(大中型工业企业口径)
1.23.23.7,高技术产业技术改造经费支出(大中型工业企业口径)
1.23.24,高技术产业大中型工业企业科技活动产出情况(大中型工业企业口径)
1.23.24.1,高技术产业工业总产值(大中型工业企业口径)
1.23.24.2,高技术产业新产品产值(大中型工业企业口径)
1.23.24.3,高技术产业主营业务收入(大中型工业企业口径)
1.23.24.4,高技术产业新产品销售收入(大中型工业企业口径)
1.23.24.5,高技术产业新产品出口销售收入(大中型工业企业口径)
1.23.24.6,高技术产业利润总额(大中型工业企业口径)
1.23.24.7,高技术产业专利申请数(大中型工业企业口径)
1.23.24.8,高技术产业发明专利申请数(大中型工业企业口径)
1.23.24.9,高技术产业有效发明专利数(大中型工业企业口径)
1.23.25,高技术产业生产经营情况
1.23.25.1,高技术产业企业数
1.23.25.2,高技术产业从业人员年平均人数
1.23.25.3,高技术产业总产值
1.23.25.4,高技术产业主营业务收入
1.23.25.5,高技术产业利润额
1.23.25.6,高技术产业利税额
1.23.25.7,高技术产业出口交货值
1.23.26,高技术产业研究与试验发展活动情况
1.23.26.1,高技术产业研究与试验发展机构数
1.23.26.2,高技术产业研究与试验发展人员全时当量
1.23.26.3,高技术产业研究与试验发展经费支出
1.23.26.4,高技术产业研究与试验发展项目数
1.23.26.5,高技术产业研究与试验发展项目经费
1.23.27,高技术产业新产品开发情况
1.23.27.1,高技术产业新产品开发项目数
1.23.27.2,高技术产业新产品开发经费支出
1.23.27.3,高技术产业新产品产值
1.23.27.4,高技术产业新产品销售收入
1.23.27.5,高技术产业新产品出口销售收入
1.23.28,高技术产业专利情况
1.23.28.1,高技术产业专利申请数
1.23.28.2,高技术产业发明专利申请数
1.23.28.3,高技术产业有效发明专利数
1.23.29,国内外三种专利申请受理量
1.23.30,国内外三种专利申请授权量
1.23.31,国内三种专利申请受理数和授权数
1.23.32,按国别(地区)分国外专利申请受理量及授权量
1.23.32.1,国外专利申请受理数
1.23.32.2,国外发明专利申请受理数
1.23.32.3,国外实用新型专利申请受理数
1.23.32.4,国外外观设计专利申请受理数
1.23.32.5,国外专利申请授权数
1.23.32.6,国外发明专利申请授权数
1.23.32.7,国外实用新型专利申请授权数
1.23.32.8,国外外观设计专利申请授权数
1.23.33,按国际标准分类的发明、实用新型专利申请受理和申请授权
1.23.33.1,按国际标准分类的发明、实用新型专利申请受理数
1.23.33.2,按国际标准分类的发明、实用新型专利申请授权数
1.23.34,国外主要检索工具收录我国科技论文按学科分布
1.23.34.1,按学科分国外主要检索工具收录科技论文数
1.23.34.2,按学科分SCI收录科技论文数
1.23.34.3,按学科分EI收录科技论文数
1.23.34.4,按学科分CPCI-S收录科技论文数
1.23.34.5,国外主要检索工具收录科技论文位次
1.23.35,高技术产品、工业制成品和初级产品的进出口贸易额
1.23.36,公有经济企事业单位专业技术人员数
1.23.37,技术市场成交额
1.23.38,测绘地理信息部门生产完成情况
1.23.39,测绘资料提供情况
1.23.40,地震监测情况
1.23.41,气象业务站点及观测项目情况
1.23.42,产品质量国家监督抽查
1.23.43,产品质量监督检查情况
1.23.43.1,产品质量监督检验企业数
1.23.43.2,产品质量监督检查有不合格产品企业所占比例
1.23.43.3,产品质量监督检查批次合格率
1.23.44,产品质量情况
1.23.45,产品质量省级监督抽查
1.23.46,出入境货物检验检疫
1.23.47,中国科协系统科技活动情况
1.23.47.1,中国科协系统机构情况
1.23.47.2,中国科协系统人员情况
1.23.47.3,中国科协系统经费情况
1.23.47.4,中国科协系统学术交流活动
1.23.47.5,中国科协系统科学技术普及活动
1.23.47.6,中国科协系统科学技术普及专题——青少年科技教育
1.23.47.7,中国科协系统科普资源建设
1.23.47.8,中国科协系统科普基础设施建设
1.23.47.9,中国科协系统国际民间科技交流活动
1.23.47.10,中国科协系统科技活动和社会服务
1.23.47.11,中国科协系统科技传媒情况
1.24,卫生
1.24.1,医疗卫生机构
1.24.2,卫生人员
1.24.3,每万人口卫生技术人员数
1.24.4,村卫生室情况
1.24.5,医疗卫生机构床位
1.24.6,每万人口医疗卫生机构床位数
1.24.7,按床位数分组的社区卫生服务中心(站)
1.24.8,各类医疗卫生机构医疗服务及床位利用
1.24.8.1,各类医疗卫生机构诊疗人次数
1.24.8.2,各类医疗卫生机构入院人数
1.24.8.3,各类医疗卫生机构实际开放总床日数
1.24.8.4,各类医疗卫生机构平均开放病床
1.24.8.5,各类医疗卫生机构实际占用总床日数
1.24.8.6,各类医疗卫生机构出院者占用总床日数
1.24.8.7,各类医疗卫生机构病床工作日
1.24.8.8,各类医疗卫生机构病床使用率
1.24.8.9,各类医疗卫生机构平均住院日
1.24.9,医疗卫生机构门诊服务情况
1.24.10,医疗卫生机构住院服务情况
1.24.11,医院床位利用情况
1.24.12,乡镇卫生院医疗服务情况
1.24.13,社区卫生服务中心(站)医疗服务情况
1.24.14,甲乙类法定报告传染病发病人数及死亡人数
1.24.14.1,甲乙类法定报告传染病发病人数
1.24.14.2,甲乙类法定报告传染病死亡人数
1.24.15,甲乙类法定报告传染病发病率、死亡率及病死率
1.24.15.1,甲乙类法定报告传染病发病率
1.24.15.2,甲乙类法定报告传染病死亡率
1.24.15.3,甲乙类法定报告传染病病死率
1.24.16,城市居民主要疾病死亡率及死因构成
1.24.16.1,城市居民主要疾病粗死亡率
1.24.16.2,城市居民主要疾病死因构成
1.24.16.3,城市居民主要疾病粗死亡率位次
1.24.17,农村居民主要疾病死亡率及死因构成
1.24.17.1,农村居民主要疾病粗死亡率
1.24.17.2,农村居民主要疾病死因构成
1.24.17.3,农村居民主要疾病粗死亡率位次
1.24.18,监测地区5岁以下儿童和孕产妇死亡率
1.24.19,新型农村合作医疗情况
1.24.20,卫生总费用
1.25,社会服务
1.25.1,社会服务机构基本情况
1.25.1.1,社会服务机构单位数
1.25.1.2,社会服务机构职工人数
1.25.2,社会工作师人员
1.25.3,提供住宿的社会服务机构床位数
1.25.4,社会福利企业
1.25.5,孤儿和家庭儿童收养
1.25.6,社会救助
1.25.7,民政部门医疗救助
1.25.8,优抚安置
1.25.9,福利彩票销售
1.25.10,社会捐赠
1.25.11,社区服务机构
1.25.12,婚姻服务
1.25.13,殡葬服务
1.25.14,社会组织
1.25.15,自治组织
1.25.16,残疾人事业基本情况
1.26,文化
1.26.1,文化文物机构数
1.26.2,文化文物从业人员数
1.26.3,艺术表演团体基本情况
1.26.3.1,艺术表演团体机构数
1.26.3.2,艺术表演团体从业人数
1.26.3.3,艺术表演团体剧团原创首演剧目数
1.26.3.4,艺术表演团体演出场次
1.26.3.5,艺术表演团体国内演出场次
1.26.3.6,艺术表演团体到农村演出场次
1.26.3.7,艺术表演团体国内演出观众人次
1.26.3.8,艺术表演团体国内演出农村观众人次
1.26.3.9,艺术表演团体收入合计
1.26.3.10,艺术表演团体财政拨款收入
1.26.3.11,艺术表演团体演出收入
1.26.3.12,艺术表演团体支出合计
1.26.3.13,政府采购的公益演出活动演出场次
1.26.3.14,政府采购的公益演出活动观众人次
1.26.4,艺术表演场馆基本情况
1.26.4.1,艺术表演场馆机构数
1.26.4.2,艺术表演场馆从业人数
1.26.4.3,艺术表演场馆坐席数
1.26.4.4,艺术表演场馆演(映)出场次
1.26.4.5,艺术表演场馆艺术演出场次
1.26.4.6,艺术表演场馆观众人次
1.26.4.7,艺术表演场馆艺术演出场次观众人次
1.26.4.8,艺术表演场馆收入合计
1.26.4.9,艺术表演场馆财政拨款收入
1.26.4.10,艺术表演场馆演出收入
1.26.4.11,艺术表演场馆支出合计
1.26.5,公共图书馆基本情况
1.26.5.1,公共图书馆
1.26.5.2,少儿图书馆
1.26.5.3,中央公共图书馆
1.26.5.4,省、区、直辖市(级)公共图书馆
1.26.5.5,地市级公共图书馆
1.26.5.6,县市级公共图书馆
1.26.5.7,县图书馆
1.26.6,群众文化机构基本情况
1.26.6.1,群众文化机构
1.26.6.2,省、区、直辖市(级)群众文化机构
1.26.6.3,地市级群众文化机构
1.26.6.4,县市级群众文化机构
1.26.6.5,县文化馆
1.26.6.6,乡镇(街道)文化站
1.26.6.7,乡镇文化站
1.26.7,文物业基本情况
1.26.7.1,文物业机构数
1.26.7.2,文物业从业人员
1.26.7.3,文物业收入合计
1.26.7.4,文物业支出合计
1.26.7.5,文物业资产总计
1.26.7.6,文物业实际使用房屋建筑面积
1.26.7.7,文物业文物藏品数
1.26.7.8,文物业从有关部门接收文物数
1.26.7.9,文物业藏品征集数
1.26.7.10,文物业举办陈列展览
1.26.7.11,文物业参观人次
1.26.8,主要文化机构数
1.26.9,艺术表演团体、艺术表演场馆演出情况
1.26.10,博物馆
1.26.11,广播电视事业发展情况
1.26.12,广播电视节目制作时间
1.26.13,广播电视节目播出时间
1.26.14,广播电视节目综合人口覆盖情况
1.26.15,广播节目制作播出情况
1.26.16,电视节目制作播出情况
1.26.17,有线广播电视传输干线网络及用户情况
1.26.18,广播电视技术情况
1.26.19,电视节目进出口情况
1.26.19.1,电视节目进口总额
1.26.19.2,电视节目进口量
1.26.19.3,电视节目出口总额
1.26.19.4,电视节目出口量
1.26.20,电影综合情况
1.26.21,图书出版情况
1.26.21.1,图书出版种数
1.26.21.2,图书出版印数
1.26.21.3,图书出版印张数
1.26.22,图书、期刊和报纸出版情况
1.26.23,少年儿童读物类图书和课本出版情况
1.26.24,课本出版情况
1.26.25,录像制品出版情况
1.26.26,录音制品出版情况
1.26.27,电子出版物出版情况
1.26.28,全国图书、期刊、报纸进出口情况
1.26.29,音像、电子出版物进出口情况
1.26.30,版权合同登记
1.26.31,引进和输出版权情况
1.26.31.1,引进版权总数
1.26.31.2,引进图书版权总数
1.26.31.3,引进录音制品版权总数
1.26.31.4,引进录像制品版权总数
1.26.31.5,引进电子出版物版权总数
1.26.31.6,引进软件版权总数
1.26.31.7,引进电影版权总数
1.26.31.8,引进电视节目版权总数
1.26.31.9,引进其它版权总数
1.26.31.10,输出版权总数
1.26.31.11,输出图书版权总数
1.26.31.12,输出录音制品版权总数
1.26.31.13,输出录像制品版权总数
1.26.31.14,输出电子出版物版权总数
1.26.31.15,输出软件版权总数
1.26.31.16,输出电影版权总数
1.26.31.17,输出电视节目版权总数
1.26.31.18,输出其它版权总数
1.26.32,出版物发行机构数和网点数
1.26.33,出版印刷生产情况
1.26.34,档案馆机构和人员情况
1.27,体育
1.27.1,体育系统机构人员情况
1.27.1.1,体育系统机构数
1.27.1.2,体育系统人员数
1.27.2,运动员获世界冠军情况
1.27.3,运动员分项创世界纪录情况
1.27.4,分技术等级运动员发展人数
1.27.5,分项目分技术等级运动员发展人数
1.27.5.1,分项目等级运动员发展人数
1.27.5.2,分项目等级女运动员发展人数
1.27.5.3,分项目国际级运动健将数
1.27.5.4,分项目国际级女运动健将数
1.27.5.5,分项目运动健将数
1.27.5.6,分项目女运动健将数
1.27.5.7,分项目一级运动员数
1.27.5.8,分项目一级女运动员数
1.27.5.9,分项目二级运动员数
1.27.5.10,分项目二级女运动员数
1.27.6,分等级教练员发展人数
1.28,公共管理、社会保障及其他
1.28.1,历届全国人民代表大会代表人数
1.28.2,历届全国政治协商会议委员人数
1.28.3,妇联干部情况
1.28.4,工会组织情况
1.28.5,劳动争议处理情况
1.28.6,律师、公证和调解工作基本情况
1.28.7,国内公证文书分类
1.28.7.1,经济办证
1.28.7.2,民事法律关系办证
1.28.8,涉外公证文书分类
1.28.9,调解民间纠纷分类
1.28.10,在押服刑人员基本情况
1.28.11,公安机关立案的刑事案件
1.28.12,公安机关受理和查处治安案件数
1.28.12.1,公安机关受理治安案件数
1.28.12.2,公安机关查处治安案件数
1.28.12.3,每万人口受理案件数
1.28.13,交通事故
1.28.13.1,交通事故发生数
1.28.13.2,交通事故死亡人数
1.28.13.3,交通事故受伤人数
1.28.13.4,交通事故直接财产损失
1.28.14,火灾事故
1.28.14.1,火灾发生数
1.28.14.2,火灾死亡人数
1.28.14.3,火灾受伤人数
1.28.14.4,火灾直接经济损失
1.28.14.5,火灾平均每起事故损失
1.28.14.6,人口火灾发生率
1.28.15,人民检察院直接立案侦查案件情况
1.28.15.1,人民检察院受案数
1.28.15.2,人民检察院立案件数
1.28.15.3,人民检察院立案人数
1.28.15.4,人民检察院结案件数
1.28.15.5,人民检察院结案人数
1.28.16,人民检察院审查批准、决定逮捕犯罪嫌疑人和提起公诉被告人情况
1.28.16.1,人民检察院批捕、决定逮捕件数
1.28.16.2,人民检察院批捕、决定逮捕人数
1.28.16.3,人民检察院决定起诉件数
1.28.16.4,人民检察院决定起诉人数
1.28.17,人民检察院处理申诉案件情况
1.28.17.1,人民检察院申诉案件受案件数
1.28.17.2,人民检察院申诉案件立案复查件数
1.28.17.3,人民检察院申诉案件结案件数
1.28.18,人民检察院出庭公诉情况
1.28.18.1,人民检察院适用简易程序案件数
1.28.18.2,人民检察院出庭公诉案件数
1.28.18.3,人民检察院一审出庭公诉案件数
1.28.18.4,人民检察院二审出庭公诉案件数
1.28.18.5,人民检察院二审上诉案案件数
1.28.18.6,人民检察院二审抗诉案案件数
1.28.18.7,人民检察院再审出庭公诉案件数
1.28.19,人民检察院办理刑事抗诉案件情况
1.28.19.1,人民检察院提出抗诉案件数
1.28.19.2,人民检察院撤回抗诉案件数
1.28.19.3,人民检察院审判结果案件数
1.28.19.4,人民检察院改判案件数
1.28.19.5,人民检察院维持原判案件数
1.28.19.6,人民检察院发回重审案件数
1.28.20,人民检察院办理民事、行政抗诉案件情况
1.28.20.1,人民检察院办理民事、行政抗诉案件
1.28.20.2,人民检察院民事案件
1.28.20.3,人民检察院行政案件
1.28.21,人民检察院受理举报、控告和申诉案件情况
1.28.22,人民检察院纠正违法情况
1.28.22.1,人民检察院书面提出纠正
1.28.22.2,人民检察院已纠正
1.28.23,人民法院审理一审案件情况
1.28.24,人民法院审理刑事一审案件收结案情况
1.28.24.1,人民法院刑事收案件数
1.28.24.2,人民法院刑事结案件数
1.28.25,人民法院审理刑事案件罪犯情况
1.28.26,人民法院审理婚姻家庭、继承一审案件收结案情况
1.28.26.1,人民法院审理婚姻家庭、继承一审案件收案件数
1.28.26.2,人民法院审理婚姻家庭、继承一审案件案件结案件数
1.28.26.3,人民法院审理婚姻家庭、继承一审案件案件调解件数
1.28.26.4,人民法院审理婚姻家庭、继承一审案件案件判决件数
1.28.26.5,人民法院审理婚姻家庭、继承一审案件案件驳回件数
1.28.26.6,人民法院审理婚姻家庭、继承一审案件案件撤诉件数
1.28.26.7,人民法院审理婚姻家庭、继承一审案件其他案件结案件数
1.28.27,人民法院审理合同纠纷一审案件收结案情况
1.28.27.1,人民法院审理合同纠纷一审案件收案件数
1.28.27.2,人民法院审理合同纠纷一审案件结案件数
1.28.27.3,人民法院审理合同纠纷一审案件调解件数
1.28.27.4,人民法院审理合同纠纷一审案件判决件数
1.28.27.5,人民法院审理合同纠纷一审案件驳回件数
1.28.27.6,人民法院审理合同纠纷一审案件撤诉件数
1.28.27.7,人民法院审理合同纠纷一审案件其他结案件数
1.28.28,人民法院审理权属、侵权纠纷及其他民事一审案件收结案情况
1.28.28.1,人民法院审理权属、侵权纠纷及其他民事一审案件收案件数
1.28.28.2,人民法院审理权属、侵权纠纷及其他民事一审案件结案件数
1.28.28.3,人民法院审理权属、侵权纠纷及其他民事一审案件调解件数
1.28.28.4,人民法院审理权属、侵权纠纷及其他民事一审案件判决件数
1.28.28.5,人民法院审理权属、侵权纠纷及其他民事一审案件驳回件数
1.28.28.6,人民法院审理权属、侵权纠纷及其他民事一审案件撤诉件数
1.28.28.7,人民法院审理权属、侵权纠纷及其他民事一审案件其他结案件数
1.28.29,人民法院审理行政一审案件收结案情况
1.28.29.1,人民法院审理行政一审案件收案件数
1.28.29.2,人民法院审理行政一审案件结案件数
1.28.29.3,人民法院审理行政一审案件维持件数
1.28.29.4,人民法院审理行政一审案件撤销件数
1.28.29.5,人民法院审理行政一审案件驳回件数
1.28.29.6,人民法院审理行政一审案件撤诉件数
1.28.29.7,人民法院审理行政一审案件单独赔偿件数
1.28.29.8,人民法院审理行政一审案件其他结案件数
1.28.30,社会保险基金收支及累计结余
1.28.31,参加城镇基本养老保险人数
1.28.32,社会保险基本情况
1.28.33,城镇基本养老保险
1.28.34,失业保险
1.28.35,城镇基本医疗保险
1.28.36,工伤保险
1.28.37,生育保险
1.28.38,新型农村社会养老保险试点情况
1.28.39,城乡居民社会养老保险情况
